Storeid,Cogs,Date,MarketSize,Market,Marketing,ProductLine,ProductType,Product,Profit,Sales,State,TargetCOGS,TargetProfit,TargetSales,OtherExpenses
475,68,01-12-2012,Small Market,East,25,Leaves,Herbal Tea,Lemon,27,153,Connecticut,50,20,110,58
475,63,01-12-2012,Small Market,East,19,Leaves,Herbal Tea,Mint,36,139,Connecticut,40,40,100,40
435,92,01-12-2012,Small Market,West,28,Leaves,Herbal Tea,Mint,17,160,Utah,80,20,140,51
920,55,01-12-2012,Small Market,Central,49,Leaves,Tea,Earl Grey,-3,131,Wisconsin,40,0,100,79
720,51,01-10-2013,Major Market,Central,46,Leaves,Herbal Tea,Lemon,-7,130,Colorado,30,30,90,76
970,52,01-10-2013,Major Market,Central,17,Leaves,Herbal Tea,Mint,39,131,Colorado,30,50,90,45
430,43,01-10-2013,Major Market,South,13,Leaves,Herbal Tea,Lemon,42,114,Texas,30,50,90,36
561,38,01-10-2013,Major Market,East,10,Leaves,Tea,Darjeeling,52,100,Florida,40,50,100,21
510,72,01-10-2013,Major Market,West,23,Leaves,Tea,Green Tea,83,194,California,20,50,80,54
563,0,01-10-2013,Small Market,Central,0,Beans,Espresso,Decaf Espresso,46,46,Iowa,0,60,60,12
203,47,01-10-2013,Small Market,East,15,Beans,Espresso,Decaf Espresso,31,118,Connecticut,30,50,90,43
405,27,01-10-2013,Small Market,South,7,Beans,Coffee,Decaf Irish Cream,31,70,Oklahoma,30,60,90,18
775,31,01-10-2013,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,10,72,Nevada,30,50,90,30
435,40,01-10-2013,Small Market,West,11,Beans,Espresso,Decaf Espresso,55,106,Utah,20,60,80,22
603,49,01-10-2013,Small Market,East,15,Beans,Coffee,Amaretto,49,128,New Hampshire,30,60,90,38
603,45,01-10-2013,Small Market,East,14,Beans,Coffee,Colombian,36,121,New Hampshire,30,50,90,45
603,45,01-10-2013,Small Market,East,41,Beans,Espresso,Caffe Mocha,-10,116,New Hampshire,30,30,90,71
504,60,01-10-2013,Small Market,South,54,Beans,Espresso,Caffe Latte,1,153,Louisiana,30,10,90,83
702,34,01-10-2013,Small Market,West,12,Beans,Coffee,Colombian,-3,82,Nevada,40,30,100,45
971,54,01-10-2013,Small Market,West,20,Beans,Espresso,Caffe Latte,18,128,Oregon,40,40,100,54
573,45,01-10-2013,Small Market,Central,41,Leaves,Herbal Tea,Chamomile,-9,116,Missouri,20,30,80,70
262,48,01-10-2013,Small Market,Central,13,Leaves,Herbal Tea,Lemon,67,126,Wisconsin,30,60,90,25
801,49,01-10-2013,Small Market,West,15,Leaves,Herbal Tea,Chamomile,49,128,Utah,30,60,90,38
509,48,01-10-2013,Small Market,West,13,Leaves,Herbal Tea,Lemon,70,127,Washington,30,60,90,24
475,40,01-10-2013,Small Market,East,11,Leaves,Tea,Darjeeling,53,106,Connecticut,40,50,100,23
503,82,01-10-2013,Small Market,West,27,Leaves,Tea,Earl Grey,95,218,Oregon,30,50,90,59
541,91,01-10-2013,Small Market,West,28,Leaves,Tea,Green Tea,113,232,Oregon,40,50,100,51
936,40,01-11-2013,Major Market,South,13,Beans,Coffee,Decaf Irish Cream,39,98,Texas,40,40,100,26
254,50,01-11-2013,Major Market,South,14,Beans,Espresso,Decaf Espresso,71,131,Texas,30,40,90,25
719,40,01-11-2013,Major Market,Central,13,Beans,Coffee,Colombian,40,98,Colorado,30,40,90,25
339,52,01-11-2013,Major Market,East,47,Beans,Espresso,Caffe Mocha,-12,128,Massachusetts,50,0,110,76
561,75,01-11-2013,Major Market,East,23,Leaves,Herbal Tea,Mint,65,175,Florida,50,30,110,45
806,46,01-11-2013,Major Market,South,14,Leaves,Herbal Tea,Lemon,46,121,Texas,40,30,100,37
719,55,01-11-2013,Major Market,Central,20,Leaves,Tea,Darjeeling,22,132,Colorado,40,20,100,54
708,50,01-11-2013,Major Market,Central,14,Leaves,Tea,Darjeeling,71,131,Illinois,40,40,100,25
719,57,01-11-2013,Major Market,Central,17,Leaves,Tea,Earl Grey,43,133,Colorado,40,30,100,39
351,36,01-11-2013,Major Market,East,10,Leaves,Tea,Darjeeling,46,94,Massachusetts,30,40,90,21
636,33,01-11-2013,Small Market,Central,9,Beans,Espresso,Decaf Espresso,40,86,Missouri,40,50,100,21
504,31,01-11-2013,Small Market,South,8,Beans,Coffee,Decaf Irish Cream,42,83,Louisiana,30,50,90,19
580,36,01-11-2013,Small Market,South,10,Beans,Coffee,Decaf Irish Cream,45,94,Oklahoma,40,40,100,22
337,49,01-11-2013,Small Market,South,15,Beans,Espresso,Decaf Espresso,50,128,Louisiana,30,30,90,37
262,54,01-11-2013,Small Market,Central,20,Beans,Coffee,Amaretto,21,129,Wisconsin,50,20,110,53
603,46,01-11-2013,Small Market,East,14,Beans,Coffee,Amaretto,45,120,New Hampshire,40,40,100,37
603,43,01-11-2013,Small Market,East,14,Beans,Coffee,Colombian,30,116,New Hampshire,30,30,90,46
603,44,01-11-2013,Small Market,East,40,Beans,Espresso,Caffe Mocha,-12,113,New Hampshire,40,10,100,70
318,53,01-11-2013,Small Market,South,16,Beans,Espresso,Caffe Mocha,73,150,Louisiana,40,30,100,39
206,54,01-11-2013,Small Market,West,20,Beans,Espresso,Caffe Mocha,19,129,Washington,50,20,110,54
580,54,01-11-2013,Small Market,South,20,Leaves,Herbal Tea,Chamomile,19,129,Oklahoma,50,20,110,54
435,46,01-11-2013,Small Market,West,14,Leaves,Herbal Tea,Chamomile,45,120,Utah,40,30,100,37
435,43,01-11-2013,Small Market,West,14,Leaves,Herbal Tea,Lemon,30,116,Utah,40,30,100,46
253,47,01-11-2013,Small Market,West,13,Leaves,Herbal Tea,Lemon,65,123,Washington,40,40,100,24
203,36,01-11-2013,Small Market,East,10,Leaves,Tea,Green Tea,49,96,Connecticut,30,40,90,21
509,61,01-11-2013,Small Market,West,55,Leaves,Tea,Green Tea,1,157,Washington,40,0,100,85
956,43,01-12-2013,Major Market,South,14,Beans,Coffee,Decaf Irish Cream,45,106,Texas,50,40,110,26
430,54,01-12-2013,Major Market,South,15,Beans,Espresso,Decaf Espresso,77,142,Texas,40,40,100,27
719,47,01-12-2013,Major Market,Central,42,Leaves,Herbal Tea,Lemon,-9,119,Colorado,40,0,100,71
970,54,01-12-2013,Major Market,Central,17,Leaves,Herbal Tea,Mint,43,135,Colorado,50,30,110,44
305,65,01-12-2013,Major Market,East,24,Leaves,Herbal Tea,Lemon,34,155,Florida,40,20,100,57
407,80,01-12-2013,Major Market,East,24,Leaves,Herbal Tea,Mint,74,188,Florida,60,30,120,46
325,54,01-12-2013,Major Market,South,17,Leaves,Herbal Tea,Chamomile,42,135,Texas,50,30,110,45
430,41,01-12-2013,Major Market,South,13,Leaves,Herbal Tea,Lemon,36,108,Texas,30,30,90,36
408,54,01-12-2013,Major Market,West,15,Leaves,Tea,Earl Grey,79,142,California,30,50,90,26
816,31,01-12-2013,Small Market,Central,8,Beans,Espresso,Decaf Espresso,40,82,Missouri,30,50,90,19
337,34,01-12-2013,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,46,91,Louisiana,40,50,100,20
918,33,01-12-2013,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,42,87,Oklahoma,30,50,90,21
603,48,01-12-2013,Small Market,East,15,Beans,Coffee,Colombian,42,130,New Hampshire,40,30,100,46
225,55,01-12-2013,Small Market,South,49,Beans,Espresso,Caffe Latte,-4,140,Louisiana,40,0,100,79
505,49,01-12-2013,Small Market,South,44,Beans,Espresso,Caffe Mocha,-7,126,New Mexico,30,10,90,74
702,39,01-12-2013,Small Market,West,14,Beans,Coffee,Colombian,1,94,Nevada,40,20,100,48
314,49,01-12-2013,Small Market,Central,44,Leaves,Herbal Tea,Chamomile,-7,126,Missouri,40,0,100,74
920,41,01-12-2013,Small Market,Central,12,Leaves,Herbal Tea,Chamomile,45,114,Wisconsin,30,30,90,36
417,92,01-12-2013,Small Market,Central,28,Leaves,Herbal Tea,Lemon,24,171,Missouri,80,20,140,52
860,68,01-12-2013,Small Market,East,25,Leaves,Herbal Tea,Lemon,40,163,Connecticut,50,20,110,58
203,63,01-12-2013,Small Market,East,19,Leaves,Herbal Tea,Mint,53,148,Connecticut,40,40,100,40
435,92,01-12-2013,Small Market,West,28,Leaves,Herbal Tea,Mint,25,171,Utah,80,20,140,51
262,55,01-12-2013,Small Market,Central,49,Leaves,Tea,Earl Grey,-4,140,Wisconsin,40,0,100,79
719,39,01-10-2012,Major Market,Central,12,Beans,Coffee,Colombian,27,90,Colorado,30,50,80,24
305,80,01-10-2012,Major Market,East,24,Leaves,Herbal Tea,Mint,48,174,Florida,40,40,90,46
303,54,01-10-2012,Major Market,Central,20,Leaves,Tea,Darjeeling,13,120,Colorado,30,30,80,53
303,54,01-10-2012,Major Market,Central,16,Leaves,Tea,Earl Grey,27,118,Colorado,30,40,80,37
508,27,01-10-2012,Major Market,East,7,Leaves,Tea,Darjeeling,20,66,Massachusetts,20,50,70,19
209,76,01-10-2012,Major Market,West,21,Leaves,Tea,Earl Grey,79,187,California,30,50,80,32
715,22,01-10-2012,Small Market,Central,7,Beans,Espresso,Decaf Espresso,10,51,Wisconsin,20,50,70,19
319,23,01-10-2012,Small Market,Central,6,Beans,Espresso,Caffe Mocha,18,58,Iowa,20,50,70,17
959,79,01-10-2012,Small Market,East,30,Leaves,Herbal Tea,Lemon,34,177,Connecticut,40,30,90,64
860,65,01-10-2012,Small Market,East,20,Leaves,Herbal Tea,Mint,35,142,Connecticut,30,50,80,42
262,46,01-10-2012,Small Market,Central,14,Leaves,Tea,Darjeeling,30,113,Wisconsin,20,40,70,37
715,60,01-10-2012,Small Market,Central,54,Leaves,Tea,Earl Grey,0,144,Wisconsin,40,0,90,84
206,60,01-10-2012,Small Market,West,18,Leaves,Tea,Darjeeling,57,159,Washington,20,40,70,42
773,40,01-11-2012,Major Market,Central,13,Leaves,Herbal Tea,Lemon,27,92,Illinois,30,30,80,25
614,36,01-11-2012,Major Market,Central,10,Leaves,Herbal Tea,Lemon,30,88,Ohio,30,40,80,22
617,55,01-11-2012,Major Market,East,20,Leaves,Herbal Tea,Lemon,15,124,Massachusetts,40,20,90,54
707,40,01-11-2012,Major Market,West,13,Leaves,Herbal Tea,Mint,27,92,California,30,30,80,25
352,28,01-11-2012,Major Market,East,7,Leaves,Tea,Darjeeling,23,70,Florida,20,40,70,19
561,31,01-11-2012,Major Market,East,8,Leaves,Tea,Green Tea,28,78,Florida,30,40,80,19
351,32,01-11-2012,Major Market,East,8,Leaves,Tea,Green Tea,29,80,Massachusetts,30,40,80,19
650,50,01-11-2012,Major Market,West,14,Leaves,Tea,Earl Grey,47,123,California,30,40,80,26
712,0,01-11-2012,Small Market,Central,0,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,40,50,12
505,82,01-11-2012,Small Market,South,25,Beans,Coffee,Decaf Irish Cream,-8,122,New Mexico,90,10,140,48
515,22,01-11-2012,Small Market,Central,6,Beans,Espresso,Caffe Mocha,16,56,Iowa,20,40,70,18
505,44,01-11-2012,Small Market,South,40,Beans,Espresso,Caffe Mocha,-7,106,New Mexico,30,0,80,69
775,33,01-11-2012,Small Market,West,12,Beans,Coffee,Colombian,-4,74,Nevada,30,10,80,45
573,44,01-11-2012,Small Market,Central,40,Leaves,Herbal Tea,Chamomile,-8,106,Missouri,40,0,90,70
262,31,01-11-2012,Small Market,Central,8,Leaves,Herbal Tea,Lemon,27,78,Wisconsin,20,40,70,20
475,69,01-11-2012,Small Market,East,21,Leaves,Herbal Tea,Mint,38,150,Connecticut,50,30,100,43
262,49,01-11-2012,Small Market,Central,15,Leaves,Tea,Darjeeling,33,120,Wisconsin,40,20,90,38
206,49,01-11-2012,Small Market,West,15,Leaves,Tea,Earl Grey,34,120,Washington,30,30,80,37
970,43,01-12-2012,Major Market,Central,14,Beans,Coffee,Colombian,29,99,Colorado,40,30,90,27
614,41,01-12-2012,Major Market,Central,13,Beans,Coffee,Colombian,24,101,Ohio,40,20,90,36
339,47,01-12-2012,Major Market,East,42,Beans,Espresso,Caffe Mocha,-20,99,Massachusetts,40,-10,90,72
773,43,01-12-2012,Major Market,Central,14,Leaves,Herbal Tea,Lemon,29,99,Illinois,40,30,90,27
805,43,01-12-2012,Major Market,West,14,Leaves,Herbal Tea,Mint,29,99,California,40,30,90,27
303,46,01-12-2012,Major Market,Central,17,Leaves,Tea,Darjeeling,6,103,Colorado,30,10,80,51
303,53,01-12-2012,Major Market,Central,16,Leaves,Tea,Earl Grey,26,116,Colorado,40,20,90,37
617,33,01-12-2012,Major Market,East,9,Leaves,Tea,Darjeeling,29,82,Massachusetts,30,40,80,20
863,34,01-12-2012,Major Market,East,9,Leaves,Tea,Green Tea,30,85,Florida,30,40,80,21
641,0,01-12-2012,Small Market,Central,0,Beans,Espresso,Decaf Espresso,32,43,Iowa,0,40,50,11
225,43,01-12-2012,Small Market,South,13,Beans,Espresso,Decaf Espresso,27,106,Louisiana,30,20,80,36
702,31,01-12-2012,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,8,69,Nevada,30,30,80,30
515,23,01-12-2012,Small Market,Central,6,Beans,Espresso,Caffe Mocha,17,58,Iowa,20,40,70,18
985,41,01-12-2012,Small Market,South,12,Beans,Espresso,Caffe Mocha,31,107,Louisiana,30,20,80,35
971,46,01-12-2012,Small Market,West,17,Beans,Espresso,Caffe Latte,6,103,Oregon,40,10,90,51
262,43,01-12-2012,Small Market,Central,13,Leaves,Tea,Darjeeling,28,106,Wisconsin,30,20,80,35
959,33,01-12-2012,Small Market,East,9,Leaves,Tea,Green Tea,28,82,Connecticut,30,40,80,21
435,49,01-12-2012,Small Market,West,44,Leaves,Tea,Darjeeling,-4,118,Utah,30,0,80,73
360,55,01-12-2012,Small Market,West,49,Leaves,Tea,Green Tea,-3,131,Washington,40,-10,90,79
303,39,01-10-2013,Major Market,Central,12,Beans,Coffee,Colombian,40,96,Colorado,30,50,80,24
904,80,01-10-2013,Major Market,East,24,Leaves,Herbal Tea,Mint,71,185,Florida,40,40,90,46
720,54,01-10-2013,Major Market,Central,20,Leaves,Tea,Darjeeling,19,128,Colorado,30,30,80,53
970,54,01-10-2013,Major Market,Central,16,Leaves,Tea,Earl Grey,40,126,Colorado,30,40,80,37
978,27,01-10-2013,Major Market,East,7,Leaves,Tea,Darjeeling,30,70,Massachusetts,20,50,70,19
626,76,01-10-2013,Major Market,West,21,Leaves,Tea,Earl Grey,117,199,California,30,50,80,32
262,22,01-10-2013,Small Market,Central,7,Beans,Espresso,Decaf Espresso,15,54,Wisconsin,20,50,70,19
641,23,01-10-2013,Small Market,Central,6,Beans,Espresso,Caffe Mocha,27,62,Iowa,20,50,70,17
203,79,01-10-2013,Small Market,East,30,Leaves,Herbal Tea,Lemon,50,189,Connecticut,40,30,90,64
203,65,01-10-2013,Small Market,East,20,Leaves,Herbal Tea,Mint,52,151,Connecticut,30,50,80,42
262,46,01-10-2013,Small Market,Central,14,Leaves,Tea,Darjeeling,45,120,Wisconsin,20,40,70,37
262,60,01-10-2013,Small Market,Central,54,Leaves,Tea,Earl Grey,0,153,Wisconsin,40,0,90,84
425,60,01-10-2013,Small Market,West,18,Leaves,Tea,Darjeeling,85,169,Washington,20,40,70,42
312,40,01-11-2013,Major Market,Central,13,Leaves,Herbal Tea,Lemon,40,98,Illinois,30,30,80,25
419,36,01-11-2013,Major Market,Central,10,Leaves,Herbal Tea,Lemon,45,94,Ohio,30,40,80,22
857,55,01-11-2013,Major Market,East,20,Leaves,Herbal Tea,Lemon,22,132,Massachusetts,40,20,90,54
323,40,01-11-2013,Major Market,West,13,Leaves,Herbal Tea,Mint,40,98,California,30,30,80,25
352,28,01-11-2013,Major Market,East,7,Leaves,Tea,Darjeeling,34,75,Florida,20,40,70,19
904,31,01-11-2013,Major Market,East,8,Leaves,Tea,Green Tea,42,83,Florida,30,40,80,19
978,32,01-11-2013,Major Market,East,8,Leaves,Tea,Green Tea,43,85,Massachusetts,30,40,80,19
760,50,01-11-2013,Major Market,West,14,Leaves,Tea,Earl Grey,70,131,California,30,40,80,26
515,0,01-11-2013,Small Market,Central,0,Beans,Espresso,Decaf Espresso,46,46,Iowa,0,40,50,12
505,82,01-11-2013,Small Market,South,25,Beans,Coffee,Decaf Irish Cream,-12,130,New Mexico,90,10,140,48
515,22,01-11-2013,Small Market,Central,6,Beans,Espresso,Caffe Mocha,24,60,Iowa,20,40,70,18
505,44,01-11-2013,Small Market,South,40,Beans,Espresso,Caffe Mocha,-10,113,New Mexico,30,0,80,69
775,33,01-11-2013,Small Market,West,12,Beans,Coffee,Colombian,-6,79,Nevada,30,10,80,45
314,44,01-11-2013,Small Market,Central,40,Leaves,Herbal Tea,Chamomile,-12,113,Missouri,40,0,90,70
715,31,01-11-2013,Small Market,Central,8,Leaves,Herbal Tea,Lemon,40,83,Wisconsin,20,40,70,20
959,69,01-11-2013,Small Market,East,21,Leaves,Herbal Tea,Mint,56,160,Connecticut,50,30,100,43
715,49,01-11-2013,Small Market,Central,15,Leaves,Tea,Darjeeling,49,128,Wisconsin,40,20,90,38
206,49,01-11-2013,Small Market,West,15,Leaves,Tea,Earl Grey,50,128,Washington,30,30,80,37
970,43,01-12-2013,Major Market,Central,14,Beans,Coffee,Colombian,43,106,Colorado,40,30,90,27
330,41,01-12-2013,Major Market,Central,13,Beans,Coffee,Colombian,36,108,Ohio,40,20,90,36
978,47,01-12-2013,Major Market,East,42,Beans,Espresso,Caffe Mocha,-30,106,Massachusetts,40,-10,90,72
312,43,01-12-2013,Major Market,Central,14,Leaves,Herbal Tea,Lemon,43,106,Illinois,40,30,90,27
323,43,01-12-2013,Major Market,West,14,Leaves,Herbal Tea,Mint,43,106,California,40,30,90,27
303,46,01-12-2013,Major Market,Central,17,Leaves,Tea,Darjeeling,9,110,Colorado,30,10,80,51
970,53,01-12-2013,Major Market,Central,16,Leaves,Tea,Earl Grey,39,124,Colorado,40,20,90,37
978,33,01-12-2013,Major Market,East,9,Leaves,Tea,Darjeeling,43,87,Massachusetts,30,40,80,20
321,34,01-12-2013,Major Market,East,9,Leaves,Tea,Green Tea,45,91,Florida,30,40,80,21
563,0,01-12-2013,Small Market,Central,0,Beans,Espresso,Decaf Espresso,47,46,Iowa,0,40,50,11
318,43,01-12-2013,Small Market,South,13,Beans,Espresso,Decaf Espresso,40,113,Louisiana,30,20,80,36
775,31,01-12-2013,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,12,74,Nevada,30,30,80,30
515,23,01-12-2013,Small Market,Central,6,Beans,Espresso,Caffe Mocha,25,62,Iowa,20,40,70,18
225,41,01-12-2013,Small Market,South,12,Beans,Espresso,Caffe Mocha,46,114,Louisiana,30,20,80,35
971,46,01-12-2013,Small Market,West,17,Beans,Espresso,Caffe Latte,9,110,Oregon,40,10,90,51
262,43,01-12-2013,Small Market,Central,13,Leaves,Tea,Darjeeling,42,113,Wisconsin,30,20,80,35
959,33,01-12-2013,Small Market,East,9,Leaves,Tea,Green Tea,42,87,Connecticut,30,40,80,21
435,49,01-12-2013,Small Market,West,44,Leaves,Tea,Darjeeling,-6,126,Utah,30,0,80,73
509,55,01-12-2013,Small Market,West,49,Leaves,Tea,Green Tea,-4,140,Washington,40,-10,90,79
630,39,01-10-2012,Major Market,Central,12,Leaves,Herbal Tea,Lemon,27,90,Illinois,20,40,60,24
209,39,01-10-2012,Major Market,West,12,Leaves,Herbal Tea,Mint,26,90,California,20,40,60,25
505,86,01-10-2012,Small Market,South,26,Beans,Coffee,Decaf Irish Cream,-26,109,New Mexico,110,10,150,49
318,46,01-10-2012,Small Market,South,14,Beans,Espresso,Decaf Espresso,30,113,Louisiana,20,40,60,37
515,31,01-10-2012,Small Market,Central,9,Beans,Coffee,Colombian,7,68,Iowa,20,30,60,30
505,45,01-10-2012,Small Market,South,41,Beans,Espresso,Caffe Mocha,-6,109,New Mexico,20,10,60,70
801,32,01-10-2012,Small Market,West,8,Beans,Espresso,Caffe Latte,28,79,Utah,20,40,60,19
505,31,01-10-2012,Small Market,South,9,Leaves,Herbal Tea,Lemon,6,68,New Mexico,10,30,50,31
